<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: iso_cachin_confirmatory_v3_summary.csv>
index,profile,epsilon,radius,n,q10,median,q90,D80,S80,D80_ci95_low,D80_ci95_high,S80_ci95_low,S80_ci95_high
0,P1-balanced-moderate,0.0002,0.04,128,1.1418980839865849,1.175332458427489,1.2097924095822072,0.0678943255956225,1.059457430175021,0.0614807979478375,0.0759541362053378,1.0536792306010447,1.0668125302028617
1,P1-balanced-moderate,0.0002,0.08,128,1.3066288843767004,1.3834031590727394,1.465058695815044,0.1584298114383435,1.1212508106415535,0.1431541021622329,0.178580422910964,1.1088469487523445,1.1381325459292937
2,P1-balanced-moderate,0.0002,0.12,128,1.5004973080803004,1.636200578178676,1.775303193031245,0.2748058849509447,1.1831432042370835,0.2502489372291198,0.31519459133062,1.1651680256984185,1.2140311706203424
3,P1-balanced-moderate,0.0008,0.04,128,1.131757293834704,1.1655079786248908,1.192921782912267,0.0611644890775628,1.05404382141892,0.0553668686289879,0.0684588996414838,1.0486854525876206,1.060810510242865
4,P1-balanced-moderate,0.0008,0.08,128,1.28113930092627,1.3595060982171103,1.419188648248228,0.1380493473219581,1.1077551420225324,0.1244408801858696,0.1543821624553656,1.0961850492474037,1.122096768391856
5,P1-balanced-moderate,0.0008,0.12,128,1.449444245652416,1.5846143014582124,1.681456964756149,0.2320127191037331,1.1600701232901172,0.2060672703735035,0.2558761999947561,1.140040165685593,1.1794198999929228
6,P2-smooth-heavy,0.0002,0.04,128,1.1298182056512922,1.159560849845476,1.1908533832983803,0.0610351776470881,1.054022122622731,0.0543787150676493,0.0665134382946689,1.0478694223642913,1.0591242515113477
7,P2-smooth-heavy,0.0002,0.08,128,1.2777114710070845,1.347878683887572,1.4148820064825718,0.1371705354754873,1.1073564248173888,0.1223618390713725,0.1494648538826001,1.094764422101041,1.1182655046970884
8,P2-smooth-heavy,0.0002,0.12,128,1.4461203189894762,1.5669137409886835,1.668531425104152,0.2224111061146756,1.1537984794170464,0.1980689381745466,0.2423676323463961,1.1346991817072911,1.1699099004155014
9,P2-smooth-heavy,0.0008,0.04,128,1.122330266401366,1.141182623293391,1.1586531591791436,0.0363228927777776,1.0323638182673656,0.0322266754426276,0.0383117399796082,1.0286752865213449,1.0341780294225502
10,P2-smooth-heavy,0.0008,0.08,128,1.2598698095130496,1.2996454271968636,1.3315296299899777,0.0716598204769278,1.0568787504358288,0.0638430715662034,0.0754063212116436,1.0505421151603964,1.0600278356041335
11,P2-smooth-heavy,0.0008,0.12,128,1.413043839180789,1.47434075934374,1.510627107309452,0.097583268128663,1.0690589105750865,0.0878820069977102,0.104571727047871,1.0617795122825382,1.0743136004421594
12,P3-texture-heavy,0.0002,0.04,128,1.1660547365434009,1.214715573741302,1.2503414580406844,0.0842867214972835,1.07228367490461,0.0725983176342209,0.095600465323386,1.0617055895821237,1.0826596965323734
13,P3-texture-heavy,0.0002,0.08,128,1.3639035147320613,1.4757584097754344,1.5501816617305515,0.1862781469984902,1.136577217513135,0.1571803682703763,0.2109703026531555,1.1129270163311802,1.1573922036319324
14,P3-texture-heavy,0.0002,0.12,128,1.5995667271267753,1.784363481369006,1.8865060524242596,0.2869393252974841,1.1793856551473156,0.2382594114133767,0.3263612639386894,1.1446144789183836,1.2094785565424786
15,P3-texture-heavy,0.0008,0.04,128,1.1556553349026335,1.183746421198557,1.2057406677742766,0.0500853328716428,1.043339334279855,0.0398298038930641,0.0576956662251806,1.0341688438526846,1.0501243619481555
16,P3-texture-heavy,0.0008,0.08,128,1.3327912859393822,1.3947824318061084,1.4380991567107086,0.1053078707713264,1.0790130246815826,0.0809989305581926,0.1181572834488109,1.059761690130385,1.0893858794826887
17,P3-texture-heavy,0.0008,0.12,128,1.5380065453730305,1.6344659080614,1.6960848639909998,0.1580783186179695,1.102781304210659,0.1234110543625,0.1843984558266107,1.0786881365168115,1.1214512713565887
18,P4-bimodal,0.0002,0.04,128,1.1446039829008228,1.1737686817699453,1.1888225392244378,0.044218556323615,1.038632188061717,0.0381150514221133,0.0500802199450628,1.033122395006722,1.043987615133136
19,P4-bimodal,0.0002,0.08,128,1.3120576913303708,1.3732699235720336,1.396316468067607,0.0842587767372362,1.064218804778166,0.0705796713581101,0.0989139912694461,1.0532880115786476,1.0762149798792109
20,P4-bimodal,0.0002,0.12,128,1.503529552751251,1.5888043224094803,1.6195475449660652,0.1160179922148141,1.0771637591043803,0.0921576305587686,0.1412473072025055,1.0604191195541552,1.095344596117836
21,P4-bimodal,0.0008,0.04,128,1.1345481823464965,1.1426307972565724,1.15012561520222,0.0155774328557234,1.0137300760761927,0.0120424077038829,0.0190337283538438,1.0105851675667217,1.016832062212563
22,P4-bimodal,0.0008,0.08,128,1.2763513491827905,1.2915779148221525,1.3120388324792265,0.0356874832964357,1.027960548104004,0.0332242578466728,0.0394050449531699,1.026021481160647,1.0309020304091343
23,P4-bimodal,0.0008,0.12,128,1.4117280107176704,1.444399663715505,1.491700831627741,0.0799728209100705,1.056648887252308,0.0750055131795691,0.084614726782975,1.0530938440284638,1.0600812437758147
