<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: V8_STC_RERUN_SUMMARY.csv>
index,epsilon,method,n,successes,failures,success_rate,bit_errors_total,message_bits_total,aggregate_ber_all_bits,mean_message_bpp,mean_change_frac,mean_psnr_db,mean_distortion_cost
0,0.0002,uniform_shrink,5000,5000,0,1.0,0,68380254,0.0,0.0521699935913086,0.1018951736361477,67.69177092707082,7321.423651269532
1,0.0002,IG_matched,5000,5000,0,1.0,0,68380254,0.0,0.0521699935913086,0.1060363191688815,67.52121357988509,7231.608913525391
2,0.0008,uniform_shrink,5000,4998,2,0.9996,8154,92536216,8.811685146062165e-05,0.0705995300292968,0.1465449384192813,66.1108637272732,9046.587618945312
3,0.0008,IG_matched,5000,4999,1,0.9998,4725,92536216,5.106108942254565e-05,0.0705995300292968,0.1535736594142643,65.91111313511841,8798.830064697266
